product_id,product_name,purchase_price,sell_price,category,base_price,status,supplier_id
S01_01,Rice Basmati,42,60,S,60,Active,SUP003
S01_02,Rice Regular,36,52,S,52,Active,SUP001
S01_03,Wheat Flour,22,35,S,35,Active,SUP003
S01_04,Ragi Flour,25,40,S,40,Active,SUP001
S01_05,Maida,18,30,S,30,Active,SUP002
S01_06,Toor Dal,80,110,S,110,Active,SUP003
S01_07,Moong Dal,70,100,S,100,Active,SUP002
S01_08,Urad Dal,65,95,S,95,Active,SUP001
S01_09,Chana Dal,50,75,S,75,Active,SUP004
S01_10,Sugar White,28,40,S,40,Active,SUP003
D01_01,Milk Toned,28,45,D,45,Active,SUP005
D01_02,Milk Full Cream,35,55,D,55,Active,SUP006
D01_03,Curd,40,60,D,60,Active,SUP005
D01_04,Butter,160,220,D,220,Active,SUP007
D01_05,Paneer,70,100,D,100,Active,SUP007
D01_06,Ghee,300,420,D,420,Active,SUP006
D01_07,Cheese Slices,120,170,D,170,Active,SUP005
D01_08,Milk Powder,190,260,D,260,Active,SUP007
D01_09,Fresh Cream,60,90,D,90,Active,SUP006
D01_10,Eggs,48,70,D,70,Active,SUP007
SN01_01,Marie Biscuits,18,30,SN,30,Active,SUP010
SN01_02,Cream Biscuits,20,35,SN,35,Active,SUP008
SN01_03,Salted Chips,10,20,SN,20,Active,SUP010
SN01_04,Masala Chips,11,22,SN,22,Active,SUP008
SN01_05,Banana Chips,30,50,SN,50,Active,SUP010
SN01_06,Namkeen Mix,28,45,SN,45,Active,SUP009
SN01_07,Roasted Peanuts,40,65,SN,65,Active,SUP010
SN01_08,Popcorn,25,40,SN,40,Active,SUP008
SN01_09,Cookies Chocolate,30,50,SN,50,Active,SUP008
SN01_10,Energy Bar,40,65,SN,65,Active,SUP009
BV01_01,Tea Powder,80,120,BV,120,Active,SUP014
BV01_02,Coffee Powder,140,200,BV,200,Active,SUP014
BV01_03,Instant Coffee,120,170,BV,170,Active,SUP013
BV01_04,Green Tea,60,90,BV,90,Active,SUP014
BV01_05,Soft Drink Cola,60,90,BV,90,Active,SUP014
BV01_06,Fruit Juice Mango,70,100,BV,100,Active,SUP012
BV01_07,Lemon Drink,25,40,BV,40,Active,SUP014
BV01_08,Energy Drink,60,95,BV,95,Active,SUP014
BV01_09,Packaged Water,8,15,BV,15,Active,SUP013
BV01_10,Iced Tea,30,50,BV,50,Active,SUP013
CS01_01,Milk Chocolate,30,50,CS,50,Active,SUP018
CS01_02,Dark Chocolate,45,70,CS,70,Active,SUP015
CS01_03,Toffees Pack,25,40,CS,40,Active,SUP017
CS01_04,Candy Pack,20,35,CS,35,Active,SUP017
CS01_05,Gummies,30,50,CS,50,Active,SUP018
CS01_06,Wafer Chocolate,10,20,CS,20,Active,SUP017
CS01_07,Gift Box Chocolates,160,240,CS,240,Active,SUP015
CS01_08,Indian Sweets Box,70,100,CS,100,Active,SUP018
CS01_09,Kaju Katli,260,380,CS,380,Active,SUP015
CS01_10,Laddu Pack,120,170,CS,170,Active,SUP018
PC01_01,Bath Soap,18,30,PC,30,Active,SUP020
PC01_02,Body Wash,80,120,PC,120,Active,SUP019
PC01_03,Shampoo,120,180,PC,180,Active,SUP021
